---,Word,Mature
1286,arranged,0
1287,arranger,0
1288,arranges,0
1289,arranging,0
1290,arras,0
1291,array,0
1292,arrayed,0
1293,arrays,0
1294,arrears,0
1295,arrest,0
1296,arrested,0
1297,arresting,0
1298,arrests,0
1299,arrival,0
1300,arrivals,0
1301,arrive,0
1302,arrived,0
1303,arrives,0
1304,arriving,0
1305,arrogance,0
1306,arrogant,0
1307,arrow,0
1308,arrowhead,0
1309,arrows,0
1310,arroyo,0
1311,ars,0
1312,arse,1
1313,arsed,0
1314,arsehole,1
1315,arsenal,0
1316,arsenals,0
1317,arsenic,0
1318,arson,0
1319,arsonist,0
1320,art,0
1321,artefact,0
1322,artefacts,0
1323,arterial,0
1324,arteries,0
1325,artery,0
1326,artful,0
1327,artfully,0
1328,arthritis,0
1329,artichoke,0
1330,article,0
1331,articles,0
1332,articular,0
1333,artifact,0
1334,artifacts,0
1335,artifice,0
1336,artillery,0
1337,artis,0
1338,artisan,0
1339,artisanal,0
1340,artisans,0
1341,artist,0
1342,artiste,0
1343,artistes,0
1344,artistic,0
1345,artistry,0
1346,artists,0
1347,arts,0
1348,artsy,0
1349,artwork,0
1350,artworks,0
1351,arty,0
1352,ary,0
1353,asbestos,0
1354,ascend,0
1355,ascendant,0
1356,ascended,0
1357,ascending,0
1358,ascends,0
1359,ascension,0
1360,ascent,0
1361,ascertain,0
1362,ascetic,0
1363,ascot,0
1364,ascribe,0
1365,ascribed,0
1366,asexual,0
1367,ash,0
1368,ashamed,0
1369,ashes,0
1370,ashore,0
1371,ashraf,0
1372,ashram,0
1373,ashtray,0
1374,ashy,0
1375,aside,0
1376,asides,0
1377,asinine,0
1378,ask,0
1379,asked,0
1380,askew,0
1381,asking,0
1382,asks,0
1383,asleep,0
1384,asp,0
1385,asparagus,0
1386,aspect,0
1387,aspects,0
1388,aspen,0
1389,asphalt,0
1390,aspirant,0
1391,aspirants,0
1392,aspirated,0
1393,aspire,0
1394,aspired,0
1395,aspires,0
1396,aspirin,0
1397,aspiring,0
1398,ass,1
1399,assailant,0
1400,assailed,0
1401,assam,0
1402,assassin,0
1403,assassins,0
1404,assault,0
1405,assaulted,0
1406,assaults,0
1407,assay,0
1408,assays,0
1409,assemble,0
1410,assembled,0
1411,assembler,0
1412,assembles,0
1413,assembly,0
1414,assent,0
1415,assert,0
1416,asserted,0
1417,asserting,0
1418,assertion,0
1419,assertive,0
1420,asserts,0
1421,asses,1
1422,assess,0
1423,assessed,0
1424,assesses,0
1425,assessing,0
1426,assessor,0
1427,assessors,0
1428,asset,0
1429,assets,0
1430,asshole,1
1431,assholes,0
1432,assign,0
1433,assigned,0
1434,assigning,0
1435,assigns,0
1436,assist,0
1437,assistant,0
1438,assisted,0
1439,assisting,0
1440,assistive,0
1441,assists,0
1442,associate,0
1443,assorted,0
1444,assuage,0
1445,assume,0
1446,assumed,0
1447,assumes,0
1448,assuming,0
1449,assurance,0
1450,assure,0
1451,assured,0
1452,assuredly,0
1453,assures,0
1454,assuring,0
1455,aster,0
1456,asterisk,0
1457,astern,0
1458,asteroid,0
1459,asteroids,0
1460,asthma,0
1461,asthmatic,0
1462,astounded,0
1463,astral,0
1464,astray,0
1465,astride,0
1466,astrology,0
1467,astronaut,0
1468,astronomy,0
1469,astute,0
1470,asunder,0
1471,asylum,0
1472,asylums,0
1473,asymmetry,0
1474,ataxia,0
1475,ate,0
1476,atelier,0
1477,atheism,0
1478,atheist,0
1479,atheists,0
1480,athenaeum,0
1481,athlete,0
1482,athletes,0
1483,athletic,0
1484,athletics,0
1485,atlas,0
1486,atoll,0
1487,atom,0
1488,atomic,0
1489,atoms,0
1490,atone,0
1491,atonement,0
1492,atop,0
1493,atrial,0
1494,atrium,0
1495,atrocious,0
1496,atrocity,0
1497,atrophy,0
1498,atropine,0
1499,ats,0
1500,att,0
1501,attach,0
1502,attache,0
1503,attached,0
1504,attaches,0
1505,attaching,0
1506,attack,0
1507,attacked,0
1508,attacker,0
1509,attackers,0
1510,attacking,0
1511,attacks,0
1512,attain,0
1513,attained,0
1514,attaining,0
1515,attains,0
1516,attempt,0
1517,attempted,0
1518,attempts,0
1519,attend,0
1520,attendant,0
1521,attended,0
1522,attendee,0
1523,attendees,0
1524,attending,0
1525,attends,0
1526,attention,0
1527,attentive,0
1528,attest,0
1529,attested,0
1530,attests,0
1531,attic,0
1532,attire,0
1533,attitude,0
1534,attitudes,0
1535,attorney,0
1536,attorneys,0
1537,attract,0
1538,attracted,0
1539,attracts,0
1540,attribute,0
1541,attrition,0
1542,attuned,0
1543,atypical,0
1544,auburn,0
1545,auction,0
1546,auctioned,0
1547,auctions,0
1548,audacious,0
1549,audacity,0
1550,audible,0
1551,audibly,0
1552,audience,0
1553,audiences,0
1554,audio,0
1555,audiobook,0
1556,audit,0
1557,audited,0
1558,auditing,0
1559,audition,0
1560,auditions,0
1561,auditor,0
1562,auditors,0
1563,auditory,0
1564,audits,0
1565,auf,0
1566,auger,0
1567,augment,0
1568,augmented,0
1569,augments,0
1570,august,0
1571,auguste,0
1572,auld,0
1573,aunt,0
1574,auntie,0
1575,aunts,0
1576,aunty,0
1577,aura,0
1578,aural,0
1579,aurelia,0
1580,aureus,0
1581,aurora,0
1582,auspices,0
1583,austere,0
1584,austerity,0
1585,australis,0
1586,authentic,0
1587,author,0
1588,authored,0
1589,authoring,0
1590,authorise,0
1591,authority,0
1592,authorize,0
1593,authors,0
1594,autism,0
1595,autistic,0
1596,auto,0
1597,autocracy,0
1598,autofocus,0
1599,autograph,0
1600,automaker,0
1601,automata,0
1602,automate,0
1603,automated,0
1604,automatic,0
1605,automaton,0
1606,autonomic,0
1607,autonomy,0
1608,autopilot,0
1609,autopsies,0
1610,autopsy,0
1611,autos,0
1612,autosomal,0
1613,autumn,0
1614,autumnal,0
1615,auxiliary,0
1616,ava,0
1617,avail,0
1618,available,0
1619,avalanche,0
1620,avant,0
1621,avarice,0
1622,avatar,0
1623,avatars,0
1624,ave,0
1625,avenge,0
1626,avenged,0
1627,avenger,0
1628,avengers,0
1629,avenging,0
1630,avenue,0
1631,avenues,0
1632,average,0
1633,averaged,0
1634,averages,0
1635,averaging,0
1636,averse,0
1637,aversion,0
1638,avert,0
1639,averted,0
1640,averting,0
1641,avian,0
1642,aviation,0
1643,aviator,0
1644,aviators,0
1645,avid,0
1646,avionics,0
1647,avocado,0
1648,avocados,0
1649,avoid,0
1650,avoidable,0
1651,avoidance,0
1652,avoided,0
1653,avoiding,0
1654,avoids,0
1655,avowed,0
1656,awa,0
1657,await,0
1658,awaited,0
1659,awaiting,0
1660,awaits,0
1661,awake,0
1662,awaken,0
1663,awakened,0
1664,awakening,0
1665,awakens,0
1666,award,0
1667,awarded,0
1668,awarding,0
1669,awards,0
1670,aware,0
1671,awareness,0
1672,awash,0
1673,away,0
1674,aways,0
1675,awe,0
1676,awed,0
1677,awesome,0
1678,awesomely,0
1679,awful,0
1680,awfully,0
1681,awhile,0
1682,awkward,0
1683,awkwardly,0
1684,awning,0
1685,awoke,0
1686,awoken,0
1687,awol,0
1688,awry,0
1689,awsome,0
1690,axe,0
1691,axed,0
1692,axel,0
1693,axes,0
